X,Y,Z
-3988,2313,2583
-3922,2354,2625
-3987,2426,2836
-3970,2426,2836
-3988,2426,2850
-3976,2426,2852
-4068,2408,2919
-4578,2266,4044
-4587,2254,4111
-4587,2254,4111
-3846,2245,2465
-3846,2245,2465
-3843,2439,2750
-3942,2429,2815
-4332,2327,3701
-4455,2278,3953
-4849,2218,4782
-4850,2212,4777
-3748,2404,2643
-3861,2435,2903
-3858,2413,3008
-4010,2374,3371
-4253,2313,3806
-4327,2279,3977
-4755,2191,4914
-3956,2375,3245
-4016,2362,3483
-4745,2184,4927
-4718,2200,4952
-3589,2461,2722
-3589,2461,2722
-3519,2449,2712
-3555,2443,2802
-3749,2378,3182
-3995,2321,3771
-4063,2282,3776
-4142,2274,3948
-4231,2261,4047
-3457,2452,2696
-3717,2379,3219
-3752,2351,3422
-3919,2347,3690
-3914,2303,3728
-3265,2273,2250
-3308,2479,2614
-3587,2373,3250
-3533,2384,3264
-3716,2372,3471
-3643,2374,3426
-3635,2372,3435
-3899,2299,3806
-3940,2256,4086
-3195,2458,2786
-3195,2456,2786
-3288,2457,2853
-3212,2473,2861
-3402,2417,3073
-3344,2413,3128
-3433,2374,3282
-3433,2365,3297
-3544,2380,3411
-3586,2351,3461
-3537,2361,3554
-3834,2256,4065
-3230,2449,2961
-3052,2512,2979
-3302,2334,3172
-3442,2374,3398
-3671,2271,4077
-3778,2259,4131
-3807,2241,4176
-4345,2104,5427
-3055,2453,2910
-3173,2267,3061
-3219,2353,3442
-3391,2336,3672
-3421,2343,3728
-3478,2320,3898
-3663,2225,4258
-2681,2497,2407
-2734,2512,2530
-3214,2351,3714
-3214,2351,3714
-3324,2336,3785
-3322,2335,3807
-3645,2211,4316
-2673,2518,2784
-3001,2353,3618
-3138,2321,3905
-3484,2174,4473
-2573,2458,2883
-2795,2367,3605
-3022,2336,3971
-3353,2213,4433
-3400,2149,4539
-3418,2136,4656
-3433,2138,4713
-2435,2453,3242
-2808,2345,3700
-3002,2298,4238
-3330,2136,4538
-3699,1835,4576
-3619,2085,5267
-3814,2090,6085
-2551,2370,3740
-3370,1998,4739
