X,Y,Z,SIGNAL_STRENGTH
-4599,2323,3570,100
-4363,2533,2478,70
-4405,2405,3024,100
-4435,2366,3106,77
-4423,2330,3435,76
-4329,2343,3425,85
-4176,2484,2681,77
-4086,2530,1909,76
-4049,2506,2608,100
-3923,2571,1975,71
-3836,2559,2443,100
-3829,2562,2513,87
-3896,2406,2708,100
-3877,2412,2948,100
-3963,2404,2979,91
-4065,2141,5263,100
-3695,2499,2575,91
-3685,2362,3330,100
-3818,2292,4160,100
-3751,2244,4205,48
-3855,2183,4310,100
-3492,2528,1801,38
-3565,2406,3247,82
-3566,2382,3266,100
-3499,2450,1718,32
-3461,2469,1757,65
-3085,2358,3897,65
-3162,2180,4905,100
-3008,2375,3038,98
-2925,2354,3818,96
-2818,2466,2891,72
-2962,2287,3222,70
-2645,2469,3061,94
-2392,2452,3230,75
-5256,2224,4246,100
-5032,2314,3652,50
-5060,2311,3672,35
-5126,2235,4199,97
-4914,2501,2700,71
-4989,2320,3618,51
-5022,2316,3643,50
-5014,2306,3649,100
-4865,2514,2751,100
-4810,2513,2771,76
-4818,2309,3686,78
-4876,2237,4210,100
-4960,2208,4518,98
-4655,2548,2580,71
-4687,2455,2990,97
-4770,2342,3443,100
-4769,2342,3454,52
-4730,2348,3424,51
-4783,2342,3465,55
-4873,2188,4560,100
-4597,2453,2967,100
-4634,2394,3153,100
-4491,2558,2339,94
-4614,2368,3254,97
-4425,2538,2533,69
-4453,2384,3130,74
-4554,2293,3822,100
-4600,2231,4113,100
-4443,2387,3155,100
-4377,2360,3290,78
-4475,2235,4535,100
-4230,2552,2160,60
-4217,2571,2224,59
-4206,2570,2283,65
-4224,2573,2356,94
-4261,2466,2817,100
-4350,2399,3002,100
-4147,2508,2575,86
-4032,2585,2126,30
-4010,2584,2131,62
-4181,2328,3708,78
-4210,2181,4567,100
-3911,2559,1933,59
-4042,2396,2947,100
-4177,2184,4311,100
-4144,2196,4397,100
-3826,2575,1967,35
-3844,2583,1981,34
-3830,2585,2067,53
-3695,2532,2446,100
-3676,2559,2473,100
-3815,2382,3241,100
-3896,2348,3660,100
-3638,2530,1824,29
-3599,2569,2412,61
-3742,2446,2863,100
-3809,2324,3773,100
-3742,2259,4111,89
-3767,2255,4145,100
-3797,2248,5142,25
-3797,2248,5142,25
-3606,2423,1674,60
-3609,2421,1676,60
-3578,2359,3460,94
-3654,2251,5313,92
-3711,2219,5340,100
-3359,2521,2507,96
-3549,2382,3352,87
-3571,2340,3666,100
-3257,2576,1880,61
-3318,2554,2397,62
-3527,2115,4839,100
-3310,2380,1629,54
-3176,2549,1926,31
-3175,2565,1979,80
-3190,2475,2768,100
-3220,2433,3031,72
-3225,2368,3561,100
-3262,2352,3823,95
-2839,2520,1998,79
-2659,2521,1941,76
-5124,2293,3741,76
-5202,2215,4313,100
-5006,2317,3612,82
-4982,2316,3631,50
-4849,2507,2740,100
-4945,2317,3635,100
-4888,2309,3711,100
-4903,2302,3745,76
-4774,2471,2810,94
-4745,2482,2907,100
-4876,2308,3727,100
-4827,2309,3689,100
-4827,2309,3689,100
-4715,2424,3085,100
-4750,2344,3418,96
-4794,2327,3551,100
-4801,2236,4212,0
-4871,2186,4584,0
-4556,2548,2311,86
-4592,2499,2715,72
-4615,2441,2984,100
-4624,2367,3247,76
-4624,2367,3247,76
-4698,2237,4125,100
-4758,2228,4170,100
-4793,2212,4389,100
-4479,2540,2329,91
-4492,2548,2444,60
-4492,2548,2444,60
-4590,2358,3308,100
-4588,2361,3317,41
-4678,2270,4010,0
-4687,2232,4115,100
-4695,2152,4863,100
-4428,2575,2265,21
-4401,2557,2309,23
-4403,2571,2489,70
-4500,2382,3232,47
-4535,2375,3288,100
-4482,2374,3259,40
-4465,2357,3339,100
-4565,2239,4031,100
-4563,2224,4691,100
-4315,2545,2111,99
-4298,2535,2088,57
-4343,2576,2351,100
-4336,2519,2660,74
-4429,2359,3089,77
-4422,2337,3495,100
-4476,2208,4310,100
-4494,2187,4450,100
-4494,2187,4450,100
-4550,2190,4760,100
-4235,2571,2282,24
-4219,2552,2429,71
-4264,2542,2511,65
-4295,2455,2799,81
-4291,2442,2854,100
-4295,2366,3065,83
-4330,2373,3322,77
-4436,2244,4200,0
-4169,2573,2423,100
-4051,2596,2333,100
-3960,2509,2635,100
-4021,2368,3399,100
-3752,2637,2035,51
-3658,2536,1817,53
-3741,2369,3216,100
-3741,2318,3238,86
-3735,2342,3392,100
-3753,2379,3440,94
-3743,2370,3451,66
-3832,2284,3848,100
-3781,2246,4152,100
-3757,2292,4215,100
-3820,2234,4229,95
-3839,2198,4422,100
-3800,2206,5125,60
-3541,2578,2335,66
-3629,2436,2973,96
-3603,2385,3425,88
-3631,2358,3587,100
-3631,2314,3856,100
-3686,2295,3940,100
-3696,2269,4261,92
-3768,2176,4504,100
-3418,2580,1924,59
-3327,2569,2407,58
-3482,2411,2883,100
-3443,2392,2994,91
-3469,2372,3256,94
-3549,2326,3362,83
-3605,2258,4122,100
-3635,2237,4220,100
-3600,2216,4373,100
-3573,2193,4383,100
-3597,2190,4418,100
-3605,2173,4447,100
-3612,2198,5368,62
-3612,2198,5368,62
-3265,2579,2110,70
-3226,2610,2267,89
-3307,2398,3089,86
-3337,2370,3351,95
-3471,2233,4317,100
-3523,2157,4496,100
-3599,2078,4709,0
-3178,2422,2899,74
-3379,2287,3075,87
-3246,2396,3314,100
-3086,2476,2750,97
-3141,2414,3101,98
-3187,2275,4920,100
-2920,2497,2052,83
-2991,2425,2904,75
-3003,2357,3478,99
-3232,2004,5773,100
-2582,2514,2592,31
-2656,2380,1794,27
-2627,2401,1844,38
-2569,2346,3707,87
-2397,2355,3645,65
-1985,2473,2801,44
-5051,2302,3676,100
-4804,2327,3563,100
-4762,2341,3459,100
-4700,2373,3389,87
-4743,2241,4171,0
-4776,2232,4229,82
-4466,2567,2203,59
-4627,2242,4105,100
-4531,2363,3292,74
-4292,2470,2862,88
-4474,2186,4659,100
-4185,2549,2548,92
-4197,2524,2608,95
-4205,2433,2901,100
-4264,2356,3495,100
-4263,2355,3564,100
-4220,2323,3706,85
-4150,2403,2949,75
-4193,2348,3816,100
-4248,2174,4530,100
-4279,2225,4664,100
-3980,2426,2953,83
-4085,2347,3563,94
-4110,2334,3715,100
-4117,2322,3738,100
-4085,2326,3713,100
-4079,2329,3740,96
-4048,2356,3875,95
-4161,2194,4312,100
-3932,2340,3676,100
-4054,2216,4405,100
-4017,2197,4410,100
-3758,2553,2504,100
-3866,2405,3030,76
-3908,2334,3712,100
-3654,2574,2348,66
-3759,2319,3382,95
-3747,2367,3484,100
-3701,2356,3527,100
-3811,2286,3986,94
-3802,2193,4181,100
-3760,2250,4191,71
-3835,2277,4309,56
-3783,2250,4251,0
-3797,2223,4254,100
-3772,2225,4268,100
-3441,2557,2483,100
-3571,2487,2657,66
-3712,2270,4091,96
-3737,2186,4122,100
-3442,2373,3438,100
-3475,2320,3786,100
-3581,2308,3931,100
-3524,2254,4051,100
-3349,2336,3768,75
-3463,2320,3884,77
-3464,2309,3958,100
-3273,2366,3657,100
-3423,2081,4549,0
-3338,2186,4651,70
-2969,2392,3280,66
-3026,2343,3372,100
-2939,2315,4173,53
-3409,1611,5713,100
-2789,2114,5380,100
-4114,2040,5670,100
-2003,2410,3670,7
-2903,2322,4147,47
-3862,2060,6152,100
-2648,1670,5892,100
-4976,2195,4489,85
-4466,2249,4155,87
-3514,2386,3311,82
-3853,2098,5997,100
-4817,2207,4432,100
-4784,2173,4675,100
-4890,2157,4817,83
-3771,2440,2736,58
-4207,2321,3590,70
-4300,2292,3833,75
-4361,2269,4011,100
-4792,2149,4868,100
-3426,2365,3217,76
-3572,2368,3461,84
-3992,2260,4902,100
-3896,2237,4908,100
-3751,2215,5085,100
-3643,2074,5698,100
-4641,2254,4074,96
-4862,2208,4414,91
-4573,2259,4102,100
-4431,2275,3967,100
-4453,2276,3974,38
-4931,2130,5000,100
-4410,2264,4029,100
-4450,2248,4187,94
-4902,2134,4980,100
-4896,2133,4989,97
-4909,2114,5099,100
-4966,2117,5118,46
-4039,2296,3801,90
-3500,2420,2679,85
-3666,2387,3241,67
-3767,2358,3451,100
-3970,2314,3877,89
-3868,2174,4771,100
-3963,2140,4826,100
-3800,2206,5125,59
-3745,2172,5296,100
-3965,2102,5822,100
-4671,2246,4109,100
-4649,2243,4133,57
-4471,2271,4005,91
-4319,2281,3879,100
-4078,2303,3766,100
-4486,2181,4641,100
-4487,2178,4639,100
-2751,2532,2644,82
-3708,2211,5028,100
-3772,2201,5022,100
-3795,2153,4981,100
-3814,2118,5113,48
-3756,2207,5183,48
-3904,2092,5981,100
-3953,2237,3872,98
