X,Y,Z,SIGNAL_STRENGTH
-3.85474,2.18299,4.3103,142.229
-3.4918,2.52811,1.80051,38.017
-3.56461,2.40598,3.24725,81.772
-3.56629,2.38154,3.26584,142.832
-3.499,2.44972,1.71763,32.305
-3.46105,2.46864,1.75697,65.017
-3.08471,2.3575,3.89675,65.202
-3.16157,2.1802,4.90486,135.244
-3.00779,2.37545,3.03782,97.789
-2.92528,2.35379,3.81767,95.806
-2.81759,2.46577,2.89135,71.746
-2.96192,2.28731,3.22242,70.099
-2.64547,2.46924,3.06101,93.931
-2.39195,2.45157,3.22994,75.305
-5.25552,2.22393,4.24569,140.959
-5.03207,2.31392,3.65201,49.85
-5.05966,2.31065,3.67245,34.893
-5.12603,2.23452,4.19916,96.636
-4.91428,2.50071,2.69989,70.743
-4.989,2.32045,3.61784,50.551
-5.02184,2.31632,3.6434,49.861
-5.01392,2.30557,3.64902,119.372
-4.86499,2.51421,2.75094,127.97
-4.80974,2.51293,2.77141,75.836
-4.8182,2.30901,3.68646,77.85
-4.87553,2.23722,4.21018,125.579
-4.96026,2.20781,4.51795,97.939
-4.65512,2.54814,2.57968,71.057
-4.68747,2.45544,2.98956,97.33
-4.77014,2.34193,3.44345,155.198
-4.76854,2.34238,3.45366,51.828
-4.72962,2.34786,3.42412,50.861
-4.78286,2.34178,3.46497,54.519
-4.87276,2.18823,4.56007,121.967
-4.597,2.45253,2.96672,110.422
-4.63375,2.39444,3.15259,101.657
-4.49097,2.55826,2.33859,93.811
-4.6141,2.36807,3.25378,97.205
-4.42464,2.53817,2.53294,68.85
-4.45258,2.38366,3.12995,73.932
-4.55428,2.29256,3.8223,135.386
-4.59956,2.23149,4.11283,141.97
-4.44306,2.38745,3.15538,102.764
-4.37686,2.36018,3.28996,77.921
-4.47492,2.23455,4.53504,133.201
-4.22976,2.55211,2.16011,59.79
-4.21684,2.57091,2.22363,58.811
-4.20573,2.57,2.28327,64.854
-4.22356,2.57266,2.35646,Nov.94
-4.26116,2.4659,2.81661,126.682
-4.35001,2.39871,3.0018,113.764
-4.1474,2.50813,2.57489,85.964
-4.03249,2.58495,2.1264,29.587
-4.00978,2.58413,2.13056,62.099
-4.18149,2.32768,3.70846,77.743
-4.20985,2.18087,4.56717,155.956
-3.91064,2.55923,1.93252,59.344
-4.04222,2.39614,2.94734,119.626
-4.17701,2.1844,4.3113,127.707
-4.14392,2.19584,4.39737,153.233
-3.82604,2.57454,1.96714,34.658
-3.84392,2.58301,1.98137,Jun.34
-3.83037,2.58538,2.06715,52.729
-3.69489,2.53188,2.44572,109.288
-3.67565,2.55889,2.47321,115.06
-3.81516,2.382,3.24104,124.202
-3.8956,2.3479,3.65972,152.729
-3.63845,2.53049,1.8235,28.832
-3.59939,2.56914,2.41202,61.31
-3.74214,2.44568,2.86273,116.181
-3.80864,2.32358,3.77336,127.981
-3.74226,2.25876,4.11147,89.021
-3.76719,2.25481,4.14542,101.825
-3.79743,2.24766,5.14178,24.854
-3.79743,2.24766,5.14178,24.854
-3.60579,2.42322,1.67407,60.305
-3.60876,2.42068,1.67636,60.305
-3.57807,2.35937,3.45963,94.448
